-63.7508832535	-32.0759981907
Date	Centroid Longitude	Centroid Latitude	Cluster Temperature	Cluster Number	Cluster size (pixels)
2018-11-10 20:45:00	-63.7512854226	-32.0436024603	200	[1]	21
2018-11-10 20:44:00	-63.7553337655	-32.0387800212	200	1	21
2018-11-10 20:43:00	-63.7674138939	-32.0433023082	200	1	19
2018-11-10 20:42:00	-63.7746791621	-32.0438912141	200	1	16
2018-11-10 20:41:00	-63.7948784338	-32.0399913104	200	1	12
2018-11-10 20:40:00	-63.8005594544	-32.0959265136	200	1	5
2018-11-10 20:39:00	-63.8169376335	-32.0864902316	200	1	9
2018-11-10 20:38:00	-63.8289576604	-32.0812338682	200	1	13
2018-11-10 20:37:00	-63.8330564994	-32.0708383846	200	1	11
2018-11-10 20:36:00	-63.8275990077	-32.0542180497	200	1	10
2018-11-10 20:35:00	-63.8367047404	-32.0487837002	200	1	11
2018-11-10 20:34:00	-63.8539150917	-32.0447273791	200	1	7
2018-11-10 20:33:00	-63.86566399	-32.0347352417	200	1	5
2018-11-10 20:32:00	-63.9057500788	-32.0655775867	205	3	53
2018-11-10 20:31:00	-63.9260201247	-32.0655044814	205	2	40
2018-11-10 20:30:00	-63.9484655201	-32.0727199171	205	2	42
2018-11-10 20:29:00	-63.9619623276	-32.0705543422	205	3	45
2018-11-10 20:28:00	-63.9944992448	-32.0846566733	205	2	35
2018-11-10 20:27:00	-64.0167709241	-32.0950855551	205	1	34
2018-11-10 20:26:00	-64.0240985921	-32.1023722936	205	2	37
2018-11-10 20:25:00	-64.0239034512	-32.1240466385	205	2	49
2018-11-10 20:24:00	-64.0354486415	-32.1233820094	205	2	52
2018-11-10 20:23:00	-64.0496692337	-32.13400844	205	2	49
2018-11-10 20:22:00	-64.0511267895	-32.1214715214	205	2	54
2018-11-10 20:21:00	-64.0549031527	-32.0999735294	205	3	54
2018-11-10 20:20:00	-64.0639916189	-32.1010788814	205	2	52
2018-11-10 20:19:00	-64.0650822259	-32.1030123496	205	2	53
2018-11-10 20:18:00	-64.0692758067	-32.1061504378	205	2	50
2018-11-10 20:17:00	-64.0851084768	-32.1100140797	205	2	43
2018-11-10 20:16:00	-64.0836032415	-32.1076425924	205	2	45
2018-11-10 20:15:00	-64.0796035727	-32.1034027849	205	2	45
2018-11-10 20:14:00	-64.0859595429	-32.1058185821	205	2	40
2018-11-10 20:13:00	-64.0941463134	-32.1022337893	205	2	37
2018-11-10 20:12:00	-64.1019782945	-32.1073720897	205	3	36
2018-11-10 20:11:00	-64.1133118657	-32.1129320422	205	2	34
2018-11-10 20:10:00	-64.1198635705	-32.107998909	205	2	30
2018-11-10 20:09:00	-64.1263480406	-32.1114055634	205	2	29
2018-11-10 20:08:00	-64.1336380973	-32.1105989284	205	2	26
2018-11-10 20:07:00	-64.1333033992	-32.1040821989	205	2	23
2018-11-10 20:06:00	-64.1365342599	-32.1010891944	205	3	23
2018-11-10 20:05:00	-64.1517004448	-32.0998338884	205	3	19
2018-11-10 20:04:00	-64.1561069764	-32.0960096535	205	4	22
2018-11-10 20:03:00	-64.1627574414	-32.091805429	205	4	18
2018-11-10 20:02:00	-64.164112896	-32.0981849967	205	3	19
2018-11-10 20:01:00	-64.1721644806	-32.1024701084	205	3	22
2018-11-10 20:00:00	-64.180931472	-32.0985137618	205	3	19
2018-11-10 19:59:00	-64.1882166439	-32.0913361253	205	2	15
2018-11-10 19:58:00	-64.1932895652	-32.0962710839	205	2	13
2018-11-10 19:57:00	-64.1817880918	-32.0981575335	205	2	7
2018-11-10 19:56:00	-64.1896363146	-32.0879524143	205	2	5
2018-11-10 19:55:00	-64.2004659459	-32.0793707222	205	4	3
2018-11-10 19:54:00	-64.2361706748	-32.0920267011	210	4	15
2018-11-10 19:53:00	-64.2387745062	-32.0786772979	210	3	10
2018-11-10 19:52:00	-64.2283884037	-32.067131293	210	2	6
2018-11-10 19:51:00	-64.2413486171	-32.0762833423	210	2	3
2018-11-10 19:50:00	-64.2580701527	-32.0853652337	210	2	2
2018-11-10 19:49:00	-64.2747918034	-32.0944510967	210	2	3
2018-11-10 19:48:00	-64.2776967305	-32.0897036203	210	2	4
2018-11-10 19:47:00	-64.3028963878	-32.0970712952	210	2	1
2018-11-10 19:46:00	-64.3227488981	-32.0888878719	210	2	1
2018-11-10 19:45:00	-64.3323918061	-32.1004534851	215	5	8
2018-11-10 19:44:00	-64.3476655016	-32.1119190212	215	7	6
2018-11-10 19:43:00	-64.3639140648	-32.1163202162	215	6	8
2018-11-10 19:42:00	-64.3738917828	-32.1090968752	215	4	8
2018-11-10 19:41:00	-64.3767449992	-32.1046852452	215	5	7
2018-11-10 19:40:00	-64.3822637283	-32.097207187	215	4	5
2018-11-10 19:39:00	-64.3790484665	-32.0878752605	215	4	3
2018-11-10 19:38:00	-64.3903071164	-32.0876731836	215	3	2
2018-11-10 19:37:00	-64.3876277541	-32.0798985361	215	3	2
2018-11-10 19:36:00	-64.4031707268	-32.0757088178	215	3	1
2018-11-10 19:35:00	-64.3825371126	-32.0623953116	218	6	12
2018-11-10 19:34:00	-64.4099237275	-32.0755918767	218	4	8
2018-11-10 19:33:00	-64.4217324788	-32.0743138247	218	6	8
2018-11-10 19:32:00	-64.4501517307	-32.0787840154	218	6	5
2018-11-10 19:31:00	-64.4658690642	-32.0769369359	218	9	4
2018-11-10 19:30:00	-64.3776972702	-32.1072399303	223	8	34
2018-11-10 19:29:00	-64.389920388	-32.1030353205	223	6	19
2018-11-10 19:28:00	-64.3769966715	-32.087915561	223	8	8
2018-11-10 19:27:00	-64.4112095575	-32.0826067065	223	7	3
2018-11-10 19:26:00	-64.4369325867	-32.0751056781	223	8	2
2018-11-10 19:25:00	-64.3445683272	-32.1382639019	235	32	76
2018-11-10 19:24:00	-64.365121053	-32.1304947809	235	29	53
2018-11-10 19:23:00	-64.356460163	-32.139171906	235	30	38
2018-11-10 19:22:00	-64.3727272522	-32.1336960359	235	31	31
2018-11-10 19:21:00	-64.3826432718	-32.1324342639	235	27	25
2018-11-10 19:20:00	-64.4008116946	-32.1376519615	235	27	18
2018-11-10 19:19:00	-64.4229908212	-32.1314428696	235	28	15
2018-11-10 19:18:00	-64.4341409097	-32.1228933871	235	31	11
2018-11-10 19:17:00	-64.4125928093	-32.1241672838	235	31	5
2018-11-10 19:16:00	-64.4375954308	-32.119694278	235	24	4
2018-11-10 19:15:00	-64.4498193361	-32.1179104025	235	26	3
2018-11-10 19:14:00	-64.4819678166	-32.1016859891	235	22	1
