Time,Lat,Lon
73,90,98
74,91,105
75,93,116
76,93,123
77,90,131
78,85,138
79,85,142
80,79,155
81,77,170
82,73,183
83,73,185
84,76,199
85,68,208
86,66,212
87,65,219
88,57,233
89,62,246
90,59,255
