Time,Lat,Lon
54,115,82
55,113,86
56,117,80
57,117,80
58,122,64
59,124,70
60,123,78
61,124,87
62,125,97
63,124,107
64,127,117
65,127,127
66,126,138
67,129,147
68,130,156
69,130,166
70,132,174
71,132,185
72,131,191
73,124,200
74,129,208
75,129,220
76,128,229
77,128,236
78,128,240
79,129,249
80,130,258
81,130,269
82,131,279
