-62.9333324087	-32.6819813522
Date	Centroid Longitude	Centroid Latitude	Cluster Temperature	Cluster Number	Cluster size (pixels)
2018-11-10 19:27:00	-63.3661875446	-32.6512701943	235	37	35
2018-11-10 19:26:00	-63.3835016293	-32.6460301839	235	35	31
2018-11-10 19:25:00	-63.4022366543	-32.6435070134	235	36	27
2018-11-10 19:24:00	-63.406308386	-32.6469964064	235	34	26
2018-11-10 19:23:00	-63.4220177692	-32.6416048739	235	36	19
2018-11-10 19:22:00	-63.4181003117	-32.6389718099	235	39	13
2018-11-10 19:21:00	-63.4530264824	-32.6335388327	235	33	9
2018-11-10 19:20:00	-63.4751170531	-32.6270098309	235	33	6
2018-11-10 19:19:00	-63.4886565351	-32.6233571058	235	33	3
2018-11-10 19:18:00	-63.5246249328	-32.6108088814	235	36	1
2018-11-10 19:17:00	-63.5491907168	-32.598486997	235	34	1
2018-11-10 19:16:00	-63.5719580576	-32.5980409379	235	26	1
