-62.1060504512	-32.8422090915
Date	Centroid Longitude	Centroid Latitude	Cluster Temperature	Cluster Number	Cluster size (pixels)
2018-11-10 20:45:00	-62.1075116437	-32.8336914386	200	[3]	14
2018-11-10 20:44:00	-62.1176795663	-32.8317678717	200	5	12
2018-11-10 20:43:00	-62.1170560935	-32.8181944387	200	5	9
2018-11-10 20:42:00	-62.1241362297	-32.8259612987	200	6	7
2018-11-10 20:41:00	-62.1230902074	-32.8384396417	200	5	6
2018-11-10 20:40:00	-62.1385621024	-32.8533850259	200	7	2
2018-11-10 20:39:00	-62.1450650673	-32.8556204024	200	5	4
2018-11-10 20:38:00	-62.1616022491	-32.8528756044	200	4	3
2018-11-10 20:37:00	-62.166124304	-32.8488104209	200	6	3
2018-11-10 20:36:00	-62.1694043393	-32.8408115203	200	4	3
2018-11-10 20:35:00	-62.1891594562	-32.8483022404	200	4	1
2018-11-10 20:34:00	-62.2013539395	-32.8440711546	200	7	3
2018-11-10 20:33:00	-62.2111957278	-32.8446481139	200	7	4
2018-11-10 20:32:00	-62.2191892386	-32.8516062478	200	4	3
2018-11-10 20:31:00	-62.236391521	-32.8583665936	200	4	3
2018-11-10 20:30:00	-62.2422146656	-32.8511004871	200	3	4
2018-11-10 20:29:00	-62.2584694383	-32.8566982644	200	5	5
2018-11-10 20:28:00	-62.2812348682	-32.8603134501	200	4	8
2018-11-10 20:27:00	-62.3186379398	-32.8488080181	200	2	11
2018-11-10 20:26:00	-62.3281809499	-32.8423408069	200	2	16
2018-11-10 20:25:00	-62.3323694501	-32.8491307049	200	3	12
2018-11-10 20:24:00	-62.3331164527	-32.8437107011	200	5	8
2018-11-10 20:23:00	-62.3254913082	-32.8469029825	200	6	8
2018-11-10 20:22:00	-62.3219780951	-32.85411537	200	6	8
2018-11-10 20:21:00	-62.3389185342	-32.8587190201	200	7	8
2018-11-10 20:20:00	-62.3517870315	-32.858618883	200	4	10
2018-11-10 20:19:00	-62.3756584218	-32.8613391751	200	3	10
2018-11-10 20:18:00	-62.3825623487	-32.8561805225	200	2	17
2018-11-10 20:17:00	-62.3897994571	-32.8597807992	200	3	17
2018-11-10 20:16:00	-62.3897994571	-32.8597807992	200	5	18
2018-11-10 20:15:00	-62.42030045	-32.8633676528	200	3	17
2018-11-10 20:14:00	-62.4196516007	-32.8570645949	200	3	21
2018-11-10 20:13:00	-62.4225771855	-32.8569074078	200	3	22
2018-11-10 20:12:00	-62.4264575145	-32.8530381201	200	3	20
2018-11-10 20:11:00	-62.4329915432	-32.8575922152	200	3	18
2018-11-10 20:10:00	-62.4471398128	-32.8519286156	200	2	15
2018-11-10 20:09:00	-62.4576858483	-32.8491579735	200	2	12
2018-11-10 20:08:00	-62.4607988045	-32.8463423935	200	2	4
2018-11-10 20:07:00	-62.5242818015	-32.917494896	205	7	90
2018-11-10 20:06:00	-62.5300625433	-32.8908193947	205	8	75
2018-11-10 20:05:00	-62.5413446145	-32.8829632872	205	6	79
2018-11-10 20:04:00	-62.5500572624	-32.8760894371	205	8	82
2018-11-10 20:03:00	-62.5573739654	-32.8649514044	205	9	83
2018-11-10 20:02:00	-62.5647055342	-32.8662021438	205	7	85
2018-11-10 20:01:00	-62.5822045707	-32.8816579659	205	7	75
2018-11-10 20:00:00	-62.5958244807	-32.8742601659	205	7	70
2018-11-10 19:59:00	-62.599395423	-32.8803202498	205	5	70
2018-11-10 19:58:00	-62.5994932637	-32.8978381381	205	4	69
2018-11-10 19:57:00	-62.6082181784	-32.9103129567	205	3	73
2018-11-10 19:56:00	-62.6177427748	-32.9034661094	205	4	68
2018-11-10 19:55:00	-62.6352794373	-32.9037245261	205	6	63
2018-11-10 19:54:00	-62.6553845099	-32.8969347206	205	6	67
2018-11-10 19:53:00	-62.649897941	-32.8915578827	205	4	72
2018-11-10 19:52:00	-62.6617701497	-32.8804091823	205	5	80
2018-11-10 19:51:00	-62.6784504339	-32.8925108222	205	3	70
2018-11-10 19:50:00	-62.6800072425	-32.8865285678	205	3	68
2018-11-10 19:49:00	-62.6900595811	-32.8902131621	205	4	82
2018-11-10 19:48:00	-62.7028725074	-32.8942450087	205	4	82
2018-11-10 19:47:00	-62.7224368097	-32.8927807128	205	5	79
2018-11-10 19:46:00	-62.7421517168	-32.8818823815	205	4	75
2018-11-10 19:45:00	-62.7462733615	-32.8916201592	205	3	76
2018-11-10 19:44:00	-62.7587596956	-32.9046797634	205	3	91
2018-11-10 19:43:00	-62.7733835177	-32.9052691681	205	2	103
2018-11-10 19:42:00	-62.7868898562	-32.9033787477	205	3	100
2018-11-10 19:41:00	-62.7982852926	-32.9071586026	205	2	104
2018-11-10 19:40:00	-62.797913706	-32.902197296	205	2	106
2018-11-10 19:39:00	-62.8058820374	-32.9116405133	205	3	102
2018-11-10 19:38:00	-62.8138399	-32.9184552049	205	3	105
2018-11-10 19:37:00	-62.8239683084	-32.9148217759	205	3	97
